epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.8708853472110838,"[0.6990785002708435, 0.0947435274720192, 0.0625954419374466, 0.24936524033546448, 0.04504746198654175, 0.08751160651445389, 0.027722995728254318]","[0.7026025652885437, 0.09153281897306442, 0.039447419345378876, 0.22677990794181824, 0.05334187671542168, 0.11141395568847656, 0.029036616906523705]"
2,1.3205283852510674,"[0.9013850092887878, 0.4450131952762604, 0.11703600734472275, 0.08642052859067917, 0.049949806183576584, 0.14917205274105072, 0.12607727944850922]","[0.8823526501655579, 0.46999526023864746, 0.10064569860696793, 0.08171145617961884, 0.04448794946074486, 0.17545291781425476, 0.10182614624500275]"
3,1.1286120303841525,"[0.972723662853241, 0.5471426844596863, 0.4429277777671814, 0.5591078400611877, 0.41364139318466187, 0.205153226852417, 0.33262723684310913]","[0.9651044607162476, 0.48204439878463745, 0.35947564244270325, 0.5265719890594482, 0.41300734877586365, 0.23053643107414246, 0.23925623297691345]"
4,0.994951420052107,"[0.9840108752250671, 0.7849830985069275, 0.5928667783737183, 0.6019478440284729, 0.6893408894538879, 0.23551718890666962, 0.5874519348144531]","[0.9826475381851196, 0.752903163433075, 0.4647929072380066, 0.6010618805885315, 0.7375187873840332, 0.2743716239929199, 0.5045993328094482]"
5,0.7811110934545827,"[0.9867891073226929, 0.5667480230331421, 0.659791111946106, 0.7990750670433044, 0.6931292414665222, 0.3123948574066162, 0.5582171082496643]","[0.9859519004821777, 0.5461670160293579, 0.6225700974464417, 0.8160977363586426, 0.7415190935134888, 0.3411409258842468, 0.46231651306152344]"
6,0.6142635068228078,"[0.9934645891189575, 0.7597142457962036, 0.7239649295806885, 0.7896366715431213, 0.7375354766845703, 0.44472283124923706, 0.744270920753479]","[0.9940090179443359, 0.7676056623458862, 0.6804876327514648, 0.8171012997627258, 0.7926667332649231, 0.5054556131362915, 0.685146689414978]"
7,0.64272062653719,"[0.9957769513130188, 0.8167832493782043, 0.7764783501625061, 0.8600910305976868, 0.7186923027038574, 0.5332510471343994, 0.7598103284835815]","[0.9951392412185669, 0.7920944094657898, 0.6569469571113586, 0.803470253944397, 0.7655731439590454, 0.4809951186180115, 0.6788281202316284]"
8,0.476768109687539,"[0.9958940744400024, 0.8723098039627075, 0.7714923620223999, 0.8736847639083862, 0.8045365214347839, 0.5273971557617188, 0.8277953267097473]","[0.9956469535827637, 0.8291815519332886, 0.5327386260032654, 0.8612688779830933, 0.8134274482727051, 0.5447384715080261, 0.7605313658714294]"
9,0.43481497639833494,"[0.9941347241401672, 0.7458404302597046, 0.6812649369239807, 0.8605278730392456, 0.7590224742889404, 0.48665109276771545, 0.8181005716323853]","[0.9942378997802734, 0.7264260053634644, 0.6094770431518555, 0.8718533515930176, 0.7609032988548279, 0.5134904980659485, 0.7315582036972046]"
10,0.41119923217352045,"[0.9959184527397156, 0.8468723297119141, 0.7584303617477417, 0.846833348274231, 0.8197016716003418, 0.5525848865509033, 0.8552195429801941]","[0.9960064888000488, 0.8306409120559692, 0.6872263550758362, 0.8440070152282715, 0.8366032838821411, 0.5740381479263306, 0.7616313099861145]"
11,0.39056004965028096,"[0.9966316223144531, 0.8539115786552429, 0.7451725006103516, 0.8500958681106567, 0.7686219811439514, 0.6155596375465393, 0.834891140460968]","[0.9964359998703003, 0.8362327814102173, 0.6983520984649658, 0.8817958831787109, 0.7810846567153931, 0.6045554876327515, 0.7258511781692505]"
12,0.3798358731491621,"[0.9958221316337585, 0.807947039604187, 0.7319633960723877, 0.8393585085868835, 0.793716549873352, 0.574912428855896, 0.8403013944625854]","[0.9957523345947266, 0.8039852380752563, 0.6870684623718262, 0.842471718788147, 0.7954570055007935, 0.5739318132400513, 0.75811368227005]"
13,0.36992422300715777,"[0.9963942766189575, 0.8744376301765442, 0.7375391721725464, 0.84112948179245, 0.8136022686958313, 0.5962041616439819, 0.8582960367202759]","[0.9963778257369995, 0.8584779500961304, 0.7020097970962524, 0.8551731109619141, 0.8266696929931641, 0.6088723540306091, 0.7795418500900269]"
14,0.3513847915239112,"[0.9964412450790405, 0.8561009168624878, 0.7925003170967102, 0.8490597009658813, 0.8306423425674438, 0.6045535206794739, 0.8190876841545105]","[0.996454119682312, 0.8366754651069641, 0.6385045051574707, 0.8677916526794434, 0.8308116793632507, 0.5739532113075256, 0.7143779397010803]"
15,0.36178483172904613,"[0.9966194033622742, 0.8658444285392761, 0.7076430916786194, 0.8835729360580444, 0.766022801399231, 0.5620852708816528, 0.8090283274650574]","[0.9964272379875183, 0.8492966890335083, 0.6868566274642944, 0.8874275088310242, 0.7732426524162292, 0.5550078749656677, 0.6900519728660583]"
16,0.35566864457241326,"[0.9959889650344849, 0.8772554397583008, 0.8194054365158081, 0.8429688215255737, 0.7881066203117371, 0.5474697351455688, 0.840707004070282]","[0.9959848523139954, 0.8506748080253601, 0.6996906995773315, 0.8655856251716614, 0.7751202583312988, 0.575392484664917, 0.7529023885726929]"
17,0.3451728460400604,"[0.9958962202072144, 0.8560793995857239, 0.8201512098312378, 0.8178471326828003, 0.8014646768569946, 0.5543575286865234, 0.8452125787734985]","[0.9959768056869507, 0.8399232625961304, 0.7191749215126038, 0.8544363975524902, 0.8054812550544739, 0.5740877389907837, 0.7557235360145569]"
18,0.32940524400666704,"[0.996369481086731, 0.8597003817558289, 0.7366539239883423, 0.875584602355957, 0.8680316209793091, 0.6013261079788208, 0.8579328656196594]","[0.9961175918579102, 0.8429816365242004, 0.6730912923812866, 0.8781507611274719, 0.8449209928512573, 0.5914791226387024, 0.7559881806373596]"
19,0.33963584068209624,"[0.9908634424209595, 0.8113113641738892, 0.7416098117828369, 0.859756350517273, 0.8251363039016724, 0.44737520813941956, 0.5011322498321533]","[0.990860641002655, 0.7990157604217529, 0.5745980739593506, 0.8704358339309692, 0.8138351440429688, 0.4686710238456726, 0.44044923782348633]"
20,0.3424231416957323,"[0.9971381425857544, 0.8755658864974976, 0.7843137979507446, 0.8427063822746277, 0.85722416639328, 0.6591657996177673, 0.868843674659729]","[0.9966845512390137, 0.850213348865509, 0.7328106164932251, 0.8617229461669922, 0.841505229473114, 0.6126788258552551, 0.7503002882003784]"
21,0.3211149552533793,"[0.9970178604125977, 0.8667580485343933, 0.8182870745658875, 0.8747288584709167, 0.8483697772026062, 0.6417524218559265, 0.8612115979194641]","[0.996545135974884, 0.8515137434005737, 0.7417317628860474, 0.8884433507919312, 0.8326662182807922, 0.6098863482475281, 0.7495152950286865]"
22,0.3176278790762258,"[0.996798038482666, 0.8731808662414551, 0.8166717290878296, 0.8686851263046265, 0.8430225253105164, 0.6140359044075012, 0.8605286478996277]","[0.9965499639511108, 0.8532490730285645, 0.7369738817214966, 0.8799139857292175, 0.8292924761772156, 0.6074634194374084, 0.7819555401802063]"
23,0.32334728573643884,"[0.9970019459724426, 0.8979450464248657, 0.7294791340827942, 0.8700035214424133, 0.8505317568778992, 0.6586053967475891, 0.8517881631851196]","[0.9965235590934753, 0.8838807344436646, 0.6736246347427368, 0.8759765625, 0.8439780473709106, 0.605279266834259, 0.7664669156074524]"
24,0.3092175299345061,"[0.996985137462616, 0.8938860893249512, 0.8162266612052917, 0.8762324452400208, 0.7948262095451355, 0.6429582834243774, 0.8494755625724792]","[0.9967288970947266, 0.874316394329071, 0.742067813873291, 0.8931680917739868, 0.7892755270004272, 0.5926504731178284, 0.7666035890579224]"
25,0.30359926403954973,"[0.9966499209403992, 0.8986766934394836, 0.819678783416748, 0.8454152941703796, 0.8482158780097961, 0.601220428943634, 0.8599845767021179]","[0.996362566947937, 0.8682845234870911, 0.7309672832489014, 0.8393640518188477, 0.7796686887741089, 0.6053701043128967, 0.7313069105148315]"
26,0.2981825959543849,"[0.9970070123672485, 0.8947314023971558, 0.7877423167228699, 0.8866173028945923, 0.8662592768669128, 0.6296754479408264, 0.881325364112854]","[0.9963744878768921, 0.8666595220565796, 0.7125446796417236, 0.8966862559318542, 0.8536184430122375, 0.5865837335586548, 0.7568895220756531]"
