epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.7812675431717273,"[0.7504986524581909, 0.12782958149909973, 0.012429673224687576, 0.0940583348274231, 0.13892735540866852, 0.19906462728977203, 0.13546106219291687]","[0.7540199160575867, 0.1862749606370926, 0.012114221230149269, 0.05578191205859184, 0.09563419222831726, 0.14144346117973328, 0.1205698624253273]"
2,1.251317207203355,"[0.9629421234130859, 0.26661235094070435, 0.41166654229164124, 0.38872334361076355, 0.35849106311798096, 0.29453179240226746, 0.2492048442363739]","[0.9611639976501465, 0.31242889165878296, 0.3821195065975189, 0.34536507725715637, 0.27609819173812866, 0.20499172806739807, 0.2345534861087799]"
3,1.0862577723902325,"[0.9710668325424194, 0.2161788046360016, 0.49740830063819885, 0.6750211119651794, 0.48434966802597046, 0.33025676012039185, 0.39070940017700195]","[0.9749350547790527, 0.2650304138660431, 0.46820011734962463, 0.573662519454956, 0.36932820081710815, 0.2334376573562622, 0.3593762218952179]"
4,0.9069476488024689,"[0.9881022572517395, 0.6391512155532837, 0.6808511018753052, 0.8120884895324707, 0.7536302804946899, 0.32090023159980774, 0.7060716152191162]","[0.9886823892593384, 0.705993115901947, 0.5583847761154175, 0.771477222442627, 0.5475781559944153, 0.2596794068813324, 0.5830596089363098]"
5,0.6491326648135518,"[0.9950084686279297, 0.861305832862854, 0.7456268072128296, 0.7796033620834351, 0.7958923578262329, 0.5565275549888611, 0.7520817518234253]","[0.9946146011352539, 0.734250009059906, 0.5899641513824463, 0.6592090129852295, 0.560421884059906, 0.3859252333641052, 0.6087347865104675]"
6,0.5057529266490493,"[0.9643516540527344, 0.7453325986862183, 0.4427207410335541, 0.7835899591445923, 0.17246629297733307, 0.1797584891319275, 0.25250282883644104]","[0.9661350250244141, 0.7451653480529785, 0.384990930557251, 0.6690292954444885, 0.16824999451637268, 0.1377491056919098, 0.25155460834503174]"
7,0.5384821011576542,"[0.9929089546203613, 0.7848162651062012, 0.6635568737983704, 0.7297391891479492, 0.6510104537010193, 0.4895598888397217, 0.6621109247207642]","[0.9930359721183777, 0.7912424802780151, 0.5821952223777771, 0.5683606863021851, 0.4506145417690277, 0.35734111070632935, 0.5331932306289673]"
8,0.44333545274512715,"[0.9960152506828308, 0.8137299418449402, 0.7445484399795532, 0.8526800870895386, 0.842428982257843, 0.5981787443161011, 0.8388474583625793]","[0.995039165019989, 0.8205419778823853, 0.5972416996955872, 0.7496057152748108, 0.5970838069915771, 0.3880387842655182, 0.6343269348144531]"
9,0.3967332618181096,"[0.9953600764274597, 0.8501080274581909, 0.7610387802124023, 0.8322640657424927, 0.8470172882080078, 0.5455595254898071, 0.8225793838500977]","[0.9944969415664673, 0.8334468603134155, 0.6591007709503174, 0.7887505292892456, 0.6325204372406006, 0.36878082156181335, 0.6368465423583984]"
10,0.36611090635144433,"[0.996289849281311, 0.8626464605331421, 0.78706294298172, 0.8987434506416321, 0.7719184756278992, 0.5958777666091919, 0.8437716364860535]","[0.9952983856201172, 0.8248530626296997, 0.6685023307800293, 0.8094994425773621, 0.6022046804428101, 0.4175684452056885, 0.6388787627220154]"
11,0.36220602379288785,"[0.9966515302658081, 0.8775358200073242, 0.7972806096076965, 0.9062182307243347, 0.8788433074951172, 0.6113805770874023, 0.8576768636703491]","[0.9954149127006531, 0.8272061347961426, 0.6931796669960022, 0.8011406660079956, 0.6067670583724976, 0.4174507260322571, 0.6642128229141235]"
12,0.3517870410930279,"[0.9959837794303894, 0.8479084968566895, 0.7314528822898865, 0.8199390172958374, 0.8015640377998352, 0.5997450947761536, 0.8632254600524902]","[0.9947781562805176, 0.8193804025650024, 0.6330057382583618, 0.7568197846412659, 0.6003555059432983, 0.4073869585990906, 0.6685227155685425]"
13,0.3422748682110809,"[0.9965165853500366, 0.8446894884109497, 0.778572678565979, 0.8811723589897156, 0.8695073127746582, 0.6394777894020081, 0.8607643842697144]","[0.9956134557723999, 0.8367996215820312, 0.6929057240486145, 0.7855522632598877, 0.5263108015060425, 0.44443249702453613, 0.6462854146957397]"
14,0.32298942430074823,"[0.9964273571968079, 0.8837006688117981, 0.8059985041618347, 0.9066357612609863, 0.8394685983657837, 0.5977864265441895, 0.8651561737060547]","[0.9951227903366089, 0.832668125629425, 0.6564898490905762, 0.8124505281448364, 0.6086869239807129, 0.3940754532814026, 0.6435695290565491]"
15,0.3220713360365047,"[0.9955936670303345, 0.8281252980232239, 0.7922085523605347, 0.8559008836746216, 0.8747199177742004, 0.5475174188613892, 0.8488467931747437]","[0.9946325421333313, 0.8171823620796204, 0.6924681663513184, 0.8129415512084961, 0.6426175832748413, 0.370227187871933, 0.6469210386276245]"
16,0.3180403827234756,"[0.9968172907829285, 0.8589838147163391, 0.8220722079277039, 0.8838762044906616, 0.880871593952179, 0.6485181450843811, 0.8633754849433899]","[0.9958416819572449, 0.8344138860702515, 0.7051149010658264, 0.7995517253875732, 0.612450897693634, 0.42669835686683655, 0.6798657178878784]"
17,0.3205262103746104,"[0.9965019226074219, 0.8582872152328491, 0.755971372127533, 0.8795191049575806, 0.8592929840087891, 0.6430736780166626, 0.8486115336418152]","[0.9948808550834656, 0.8318551182746887, 0.6628472208976746, 0.8192041516304016, 0.6229494214057922, 0.4202241003513336, 0.5835731625556946]"
18,0.3195604106714559,"[0.9969120025634766, 0.852373480796814, 0.784686267375946, 0.8822833299636841, 0.8484970331192017, 0.660993218421936, 0.8671914339065552]","[0.9956734776496887, 0.8357354998588562, 0.6754199266433716, 0.832607090473175, 0.6083317995071411, 0.43930476903915405, 0.612296462059021]"
19,0.3116714178129684,"[0.996340274810791, 0.8995623588562012, 0.809109091758728, 0.8942252993583679, 0.8198286294937134, 0.5672821402549744, 0.8419302701950073]","[0.994615912437439, 0.8522074818611145, 0.7001383304595947, 0.8301882743835449, 0.6100491285324097, 0.35721611976623535, 0.6296384334564209]"
20,0.30014605924140575,"[0.9967665672302246, 0.8880453109741211, 0.8237048387527466, 0.8724837303161621, 0.8831443786621094, 0.6267897486686707, 0.8770942687988281]","[0.9953667521476746, 0.8198280334472656, 0.6966717839241028, 0.7911775708198547, 0.6120213270187378, 0.4187700152397156, 0.6500512361526489]"
21,0.30366828275281327,"[0.9959932565689087, 0.8551007509231567, 0.848651111125946, 0.9066592454910278, 0.8584886789321899, 0.5715376734733582, 0.8595157861709595]","[0.9944559335708618, 0.803463339805603, 0.6932977437973022, 0.746392548084259, 0.6006141901016235, 0.3877990245819092, 0.6224782466888428]"
22,0.3126020895880322,"[0.9969925880432129, 0.8770796656608582, 0.8296334147453308, 0.8821465373039246, 0.8519463539123535, 0.6655699610710144, 0.864998996257782]","[0.9958294630050659, 0.8557041883468628, 0.6782270669937134, 0.7979411482810974, 0.6230869889259338, 0.45252975821495056, 0.6473312973976135]"
23,0.29866333201874135,"[0.9967864751815796, 0.8824217915534973, 0.8225703239440918, 0.9120122790336609, 0.8575833439826965, 0.6413642764091492, 0.8497379422187805]","[0.9951898455619812, 0.8555681109428406, 0.7027004957199097, 0.7799169421195984, 0.6145157814025879, 0.4010733664035797, 0.611478328704834]"
24,0.29446763493293937,"[0.9969333410263062, 0.8867414593696594, 0.8312551379203796, 0.8457331657409668, 0.8652890920639038, 0.6534877419471741, 0.8734833598136902]","[0.9954417943954468, 0.8409957885742188, 0.6780956387519836, 0.7925544381141663, 0.6208033561706543, 0.42619267106056213, 0.6544007062911987]"
25,0.28772621619146926,"[0.9969725608825684, 0.8920245170593262, 0.836372971534729, 0.8807948231697083, 0.8311784863471985, 0.6432374715805054, 0.8609756231307983]","[0.9956237077713013, 0.8457173109054565, 0.7083548307418823, 0.7647162675857544, 0.6194549798965454, 0.4362834095954895, 0.6475002765655518]"
26,0.29128539839456247,"[0.9971315264701843, 0.8687640428543091, 0.8476789593696594, 0.900304913520813, 0.8918659090995789, 0.6737721562385559, 0.867944598197937]","[0.9958195686340332, 0.8512505292892456, 0.6840205788612366, 0.7361243367195129, 0.6015010476112366, 0.44230714440345764, 0.6345618963241577]"
27,0.2844187374724898,"[0.9977775812149048, 0.8886396288871765, 0.8605387806892395, 0.8991643786430359, 0.8919112086296082, 0.7258516550064087, 0.8850124478340149]","[0.9961904287338257, 0.8401732444763184, 0.659568190574646, 0.8268529772758484, 0.6221219301223755, 0.47715941071510315, 0.6317828893661499]"
28,0.2793271253968394,"[0.9963642954826355, 0.8786221742630005, 0.8513802289962769, 0.8782056570053101, 0.8824530839920044, 0.5997114181518555, 0.8760402798652649]","[0.9947859644889832, 0.846269428730011, 0.6673849821090698, 0.8144510984420776, 0.6049163341522217, 0.38754409551620483, 0.6352223753929138]"
29,0.2799920727347219,"[0.9975757598876953, 0.9032297134399414, 0.8166952133178711, 0.8904045820236206, 0.8696775436401367, 0.7049017548561096, 0.9013590812683105]","[0.9959102869033813, 0.835698127746582, 0.695321261882782, 0.8042597770690918, 0.6283045411109924, 0.40526729822158813, 0.6561926007270813]"
30,0.27841316475424654,"[0.9970568418502808, 0.8948885202407837, 0.8431819081306458, 0.8959461450576782, 0.8510643243789673, 0.6587663292884827, 0.8615736961364746]","[0.9952020645141602, 0.853377640247345, 0.7114430665969849, 0.8303497433662415, 0.6522438526153564, 0.40963825583457947, 0.6173454523086548]"
