epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.79911028014289,"[0.8340128660202026, 0.47505369782447815, 0.02589786984026432, 0.05696076154708862, 0.24962317943572998, 0.11412732303142548, 0.0847746878862381]","[0.8104137182235718, 0.36236435174942017, 0.012500089593231678, 0.05477796867489815, 0.23112162947654724, 0.13713693618774414, 0.07303513586521149]"
2,1.2549482822418212,"[0.9743198156356812, 0.3997498154640198, 0.35956090688705444, 0.5132215023040771, 0.4480207562446594, 0.21198472380638123, 0.41876378655433655]","[0.9647959470748901, 0.2990332841873169, 0.20530839264392853, 0.3905113637447357, 0.3362724184989929, 0.21681685745716095, 0.30353692173957825]"
3,1.1143415172894795,"[0.9887537956237793, 0.7215113639831543, 0.587290346622467, 0.8030997514724731, 0.7653624415397644, 0.3035571873188019, 0.586658239364624]","[0.9861435890197754, 0.6253377199172974, 0.4427342414855957, 0.6866597533226013, 0.6988863945007324, 0.3130088150501251, 0.42591363191604614]"
4,0.9539673950937059,"[0.9908746480941772, 0.7905896902084351, 0.5942837595939636, 0.8083460927009583, 0.7471556067466736, 0.33427074551582336, 0.7606727480888367]","[0.9887612462043762, 0.6838235259056091, 0.47890305519104004, 0.7301581501960754, 0.6745336651802063, 0.34012463688850403, 0.5876789689064026]"
5,0.7381102522214253,"[0.9906838536262512, 0.47735491394996643, 0.7042612433433533, 0.802335262298584, 0.7326210141181946, 0.40539830923080444, 0.7381411790847778]","[0.9894834756851196, 0.41030803322792053, 0.5525745153427124, 0.7545849084854126, 0.6683498620986938, 0.43636807799339294, 0.6047372817993164]"
6,0.5620863119761149,"[0.9926431775093079, 0.8370181918144226, 0.7714594006538391, 0.7711459994316101, 0.7284831404685974, 0.35200536251068115, 0.7907518148422241]","[0.9893395304679871, 0.7042313814163208, 0.5983283519744873, 0.6661309003829956, 0.6569250822067261, 0.3309565484523773, 0.6146506667137146]"
7,0.48583827084965175,"[0.992414116859436, 0.5889160633087158, 0.7080389261245728, 0.7846224904060364, 0.7506350874900818, 0.5416626334190369, 0.5558174252510071]","[0.9887498021125793, 0.49264106154441833, 0.5551196932792664, 0.6615656018257141, 0.6232727766036987, 0.41224798560142517, 0.3503161072731018]"
8,0.5184021049075657,"[0.9945197105407715, 0.6354209780693054, 0.654953122138977, 0.8292630314826965, 0.800622820854187, 0.544154703617096, 0.7742475271224976]","[0.9932367205619812, 0.5638974905014038, 0.5127000212669373, 0.728620707988739, 0.7641837000846863, 0.4677225649356842, 0.6518558263778687]"
9,0.4453644765747918,"[0.9939038157463074, 0.8620434999465942, 0.7725304365158081, 0.8457911610603333, 0.8228752017021179, 0.4188726544380188, 0.7694546580314636]","[0.9920293092727661, 0.7278170585632324, 0.6329024434089661, 0.785367488861084, 0.7820082902908325, 0.40255221724510193, 0.6317228078842163]"
10,0.4000073856777615,"[0.9959512948989868, 0.8809459805488586, 0.8174884915351868, 0.8772681951522827, 0.798056423664093, 0.4973610043525696, 0.8128573298454285]","[0.9946019053459167, 0.7712694406509399, 0.6432312726974487, 0.8059365153312683, 0.7609092593193054, 0.4692217707633972, 0.6692376732826233]"
11,0.37212387919425965,"[0.9963803291320801, 0.8347762823104858, 0.8009735941886902, 0.8834239840507507, 0.844931423664093, 0.5997162461280823, 0.8069151043891907]","[0.9947311282157898, 0.7323857545852661, 0.6382849812507629, 0.7973716855049133, 0.8100162744522095, 0.4731380045413971, 0.6688368320465088]"
12,0.36274832950698005,"[0.9962579607963562, 0.8343300819396973, 0.7921642661094666, 0.8495980501174927, 0.8716728091239929, 0.5657565593719482, 0.8492487668991089]","[0.9949367642402649, 0.747194766998291, 0.6447568535804749, 0.800929844379425, 0.7998768091201782, 0.48617810010910034, 0.707712709903717]"
13,0.3540167702568902,"[0.9967110753059387, 0.8648279905319214, 0.7957122921943665, 0.8648172616958618, 0.7913033366203308, 0.6058290004730225, 0.8395781517028809]","[0.9951549768447876, 0.7565814852714539, 0.6517109870910645, 0.8007693290710449, 0.7723885774612427, 0.5040379166603088, 0.6852506399154663]"
14,0.3432208266523149,"[0.9955391883850098, 0.8563591837882996, 0.808123767375946, 0.8717020750045776, 0.869747519493103, 0.5121013522148132, 0.8350344896316528]","[0.9939320683479309, 0.7654355764389038, 0.6708404421806335, 0.8176811933517456, 0.8098276853561401, 0.45980867743492126, 0.6866883635520935]"
15,0.3441310226917267,"[0.9959020614624023, 0.8067469596862793, 0.802841305732727, 0.880986213684082, 0.817718505859375, 0.5695933103561401, 0.7639182806015015]","[0.993737518787384, 0.7252375483512878, 0.6468068957328796, 0.8151663541793823, 0.7883025407791138, 0.45911478996276855, 0.5885710120201111]"
16,0.34408713976542155,"[0.9955994486808777, 0.8682055473327637, 0.8147442936897278, 0.8495094180107117, 0.8274954557418823, 0.5046637654304504, 0.8524959683418274]","[0.994097888469696, 0.7567123174667358, 0.6438613533973694, 0.7973791360855103, 0.784758448600769, 0.4480074942111969, 0.6902936697006226]"
17,0.3369251542621189,"[0.9963303804397583, 0.8402664065361023, 0.8248811960220337, 0.8918008804321289, 0.8110758066177368, 0.5650265216827393, 0.8238629102706909]","[0.994857668876648, 0.7478516697883606, 0.676384449005127, 0.8335065841674805, 0.7871635556221008, 0.4778108596801758, 0.6826919913291931]"
18,0.32801626986927457,"[0.9970465898513794, 0.8313372731208801, 0.8148890733718872, 0.8735705614089966, 0.8014159202575684, 0.6697821021080017, 0.8473316431045532]","[0.9954034686088562, 0.7203203439712524, 0.6486226916313171, 0.7897719740867615, 0.7697587013244629, 0.4918749928474426, 0.6651664972305298]"
19,0.321480960978402,"[0.9962819814682007, 0.8432446718215942, 0.8131772875785828, 0.8626705408096313, 0.798723578453064, 0.5720459222793579, 0.8593440055847168]","[0.9946910738945007, 0.7554877996444702, 0.6433103680610657, 0.7806564569473267, 0.767696738243103, 0.48861902952194214, 0.6911983489990234]"
20,0.3137891464763217,"[0.9968830943107605, 0.8523414731025696, 0.8162619471549988, 0.8841889500617981, 0.843599796295166, 0.6326071619987488, 0.8507891893386841]","[0.9955580830574036, 0.7527637481689453, 0.6491172313690186, 0.8286033868789673, 0.807418942451477, 0.5086744427680969, 0.7000224590301514]"
21,0.31193484001689487,"[0.99676114320755, 0.8760226368904114, 0.8274840116500854, 0.87989741563797, 0.8763428926467896, 0.6009949445724487, 0.8700214624404907]","[0.9952925443649292, 0.7732639908790588, 0.6799665689468384, 0.82117760181427, 0.8254011869430542, 0.5015352964401245, 0.7047325968742371]"
22,0.3030880120065477,"[0.9968878626823425, 0.8477791547775269, 0.8485922813415527, 0.873816967010498, 0.8540855646133423, 0.6472985744476318, 0.8389808535575867]","[0.9954469799995422, 0.7517907023429871, 0.6566308736801147, 0.8127076029777527, 0.8062902688980103, 0.5058666467666626, 0.6940765380859375]"
23,0.30837135778533087,"[0.9976937174797058, 0.9000813364982605, 0.8307366371154785, 0.859261691570282, 0.8479153513908386, 0.6928359866142273, 0.8809610605239868]","[0.996228814125061, 0.7480653524398804, 0.6693170070648193, 0.7991209030151367, 0.7630688548088074, 0.537081241607666, 0.6654611825942993]"
24,0.3171763426727719,"[0.996543288230896, 0.8563370704650879, 0.8451597094535828, 0.8793393969535828, 0.8704122304916382, 0.5980592966079712, 0.8247721791267395]","[0.9943627119064331, 0.7624249458312988, 0.664999783039093, 0.8131973147392273, 0.8096097707748413, 0.4516143202781677, 0.6527211666107178]"
25,0.29862430493036907,"[0.9972040057182312, 0.8718003034591675, 0.8480968475341797, 0.8850377202033997, 0.8650309443473816, 0.6521987318992615, 0.8395625948905945]","[0.9958240389823914, 0.7532662749290466, 0.6614340543746948, 0.783965528011322, 0.8050764203071594, 0.5262629985809326, 0.6798166036605835]"
26,0.2897078699535794,"[0.9979108572006226, 0.8821679949760437, 0.8690206408500671, 0.9099715948104858, 0.8602296710014343, 0.7234439253807068, 0.8831558227539062]","[0.9960030317306519, 0.7732882499694824, 0.665968120098114, 0.8243244886398315, 0.8079740405082703, 0.5124948024749756, 0.7006798386573792]"
27,0.29029299683041043,"[0.9964281916618347, 0.8396884799003601, 0.8169562220573425, 0.8632196187973022, 0.870495617389679, 0.5611876845359802, 0.8733102083206177]","[0.993749737739563, 0.7350825071334839, 0.654903769493103, 0.8080178499221802, 0.8038007616996765, 0.38827335834503174, 0.6527044773101807]"
28,0.29703690111637115,"[0.997240424156189, 0.8883098363876343, 0.847902774810791, 0.9026166200637817, 0.8832343220710754, 0.6572939157485962, 0.8478479385375977]","[0.9956691861152649, 0.756454348564148, 0.6558904647827148, 0.8050991296768188, 0.8215605020523071, 0.5057298541069031, 0.6835962533950806]"
29,0.27882616851064895,"[0.9971297383308411, 0.9023886919021606, 0.8368275761604309, 0.8752480745315552, 0.8480045199394226, 0.6304202675819397, 0.8877279162406921]","[0.9952672719955444, 0.7786030173301697, 0.6830672025680542, 0.8131974339485168, 0.783023476600647, 0.4831528663635254, 0.7041170001029968]"
30,0.29981552561124164,"[0.9970586895942688, 0.8811829686164856, 0.8317760229110718, 0.8847697377204895, 0.8322005271911621, 0.6273409724235535, 0.8610426187515259]","[0.9947528839111328, 0.7533901333808899, 0.643154501914978, 0.8125147819519043, 0.7855685949325562, 0.43990617990493774, 0.6559491753578186]"
