epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.8062364392810397,"[0.8422501683235168, 0.34035661816596985, 0.07595620304346085, 0.11600353568792343, 0.053921520709991455, 0.09030432254076004, 0.04550314322113991]","[0.8441907167434692, 0.33213356137275696, 0.08564747124910355, 0.10207010805606842, 0.050774045288562775, 0.0663248747587204, 0.05144498497247696]"
2,1.254764993985494,"[0.8229729533195496, 0.4063388407230377, 0.024581830948591232, 0.023300888016819954, 0.14114408195018768, 0.09549445658922195, 0.21495011448860168]","[0.8310799598693848, 0.43039315938949585, 0.03290068730711937, 0.022396504878997803, 0.114776611328125, 0.07330851256847382, 0.2295273095369339]"
3,1.10681209564209,"[0.9845378994941711, 0.5948940515518188, 0.5377980470657349, 0.7202824354171753, 0.5904008150100708, 0.27360856533050537, 0.4922403395175934]","[0.9862068295478821, 0.6318241953849792, 0.5118134021759033, 0.7114068865776062, 0.5819234251976013, 0.21381235122680664, 0.49019327759742737]"
4,0.9246587051285637,"[0.9817295074462891, 0.41480737924575806, 0.5679227113723755, 0.5908890962600708, 0.6403764486312866, 0.3172518312931061, 0.42062440514564514]","[0.9825993776321411, 0.4308694303035736, 0.4939250946044922, 0.6006113290786743, 0.6149484515190125, 0.2598528265953064, 0.3992305397987366]"
5,0.7473981817563374,"[0.9913371801376343, 0.6017710566520691, 0.6292076706886292, 0.857170581817627, 0.8071578145027161, 0.42078056931495667, 0.6516592502593994]","[0.9915253520011902, 0.6273332238197327, 0.5989208221435547, 0.7924623489379883, 0.6982202529907227, 0.32866138219833374, 0.5835405588150024]"
6,0.5688710020648109,"[0.995622992515564, 0.8079217672348022, 0.767426609992981, 0.8612169027328491, 0.7737905979156494, 0.5339457392692566, 0.7351406216621399]","[0.9947430491447449, 0.7933896780014038, 0.6576245427131653, 0.815130352973938, 0.6706494092941284, 0.3593577742576599, 0.6305137276649475]"
7,0.5053323030471801,"[0.9925724267959595, 0.7077955007553101, 0.689919114112854, 0.8504131436347961, 0.8231073617935181, 0.4397839903831482, 0.656187891960144]","[0.9920229911804199, 0.7485013604164124, 0.6308654546737671, 0.8488351106643677, 0.725600004196167, 0.2898271679878235, 0.5721959471702576]"
8,0.45744770103030735,"[0.9951962232589722, 0.8195517659187317, 0.6842453479766846, 0.8137080073356628, 0.791645884513855, 0.5261996984481812, 0.7864640951156616]","[0.9945958256721497, 0.7682272791862488, 0.6356932520866394, 0.8146559000015259, 0.6681057810783386, 0.3347761631011963, 0.6424519419670105]"
9,0.4350783560011122,"[0.9950190782546997, 0.8055554628372192, 0.7191075682640076, 0.865696907043457, 0.8183690905570984, 0.5238708853721619, 0.750726580619812]","[0.9937931299209595, 0.7916772961616516, 0.6286561489105225, 0.8108221292495728, 0.7352117300033569, 0.3331882953643799, 0.6283301115036011]"
10,0.4084896941979726,"[0.9934508204460144, 0.6762005090713501, 0.7465447783470154, 0.7749134302139282, 0.7919062376022339, 0.4838334023952484, 0.7721982002258301]","[0.9912997484207153, 0.6352354288101196, 0.6114945411682129, 0.7477355003356934, 0.7164430022239685, 0.2908710837364197, 0.6053546667098999]"
11,0.4206454270415836,"[0.9860492944717407, 0.6859463453292847, 0.6195277571678162, 0.8790138959884644, 0.8429872393608093, 0.42812466621398926, 0.3039240837097168]","[0.9872732162475586, 0.7306308150291443, 0.6004651784896851, 0.829512894153595, 0.7784392833709717, 0.30147892236709595, 0.37150463461875916]"
12,0.40839659108055965,"[0.9955343008041382, 0.7585294842720032, 0.6699910163879395, 0.8595611453056335, 0.8567606210708618, 0.5736068487167358, 0.8061889410018921]","[0.9946249723434448, 0.7506395578384399, 0.6000927090644836, 0.7993005514144897, 0.6853797435760498, 0.3229638636112213, 0.6462254524230957]"
13,0.3877454976240794,"[0.9948013424873352, 0.7862251996994019, 0.7191733717918396, 0.8632996678352356, 0.8582413792610168, 0.5268353819847107, 0.7815412878990173]","[0.9938968420028687, 0.7938718795776367, 0.6390689015388489, 0.8622690439224243, 0.771070659160614, 0.3414580225944519, 0.68531733751297]"
14,0.37891885572009615,"[0.9953813552856445, 0.702635645866394, 0.7780476212501526, 0.7202051877975464, 0.8251993060112, 0.5546359419822693, 0.7943636775016785]","[0.9936408996582031, 0.49013710021972656, 0.48518863320350647, 0.604019045829773, 0.553993284702301, 0.24360112845897675, 0.5562041997909546]"
15,0.49418989022572835,"[0.9933637380599976, 0.7861831188201904, 0.7314754724502563, 0.7935627102851868, 0.7680560946464539, 0.47980886697769165, 0.6280087828636169]","[0.9923861622810364, 0.7564477324485779, 0.6459716558456421, 0.7802009582519531, 0.6692086458206177, 0.31016799807548523, 0.5627934336662292]"
16,0.41106309559610155,"[0.9953600764274597, 0.8574428558349609, 0.7385456562042236, 0.872179388999939, 0.80499666929245, 0.525072455406189, 0.8004404306411743]","[0.9948633313179016, 0.8380917310714722, 0.6625792384147644, 0.8668824434280396, 0.7646293044090271, 0.37317076325416565, 0.6817593574523926]"
17,0.40659608907169764,"[0.9954041242599487, 0.8069917559623718, 0.7278111577033997, 0.8844796419143677, 0.8482376337051392, 0.5449663400650024, 0.8006250262260437]","[0.9943130612373352, 0.8174670338630676, 0.6708660125732422, 0.8382852673530579, 0.7511452436447144, 0.3239407539367676, 0.698761522769928]"
18,0.36180540124575294,"[0.9957901239395142, 0.8622308969497681, 0.7964447140693665, 0.8757094144821167, 0.8604262471199036, 0.542489230632782, 0.8277848958969116]","[0.9948011636734009, 0.8326320648193359, 0.7127577066421509, 0.8631443977355957, 0.7310067415237427, 0.3440646231174469, 0.6912814974784851]"
19,0.34442292186948986,"[0.9968700408935547, 0.8590561151504517, 0.8109033703804016, 0.893654465675354, 0.8628962635993958, 0.6289418339729309, 0.8457291722297668]","[0.9954724311828613, 0.8185538053512573, 0.6846185326576233, 0.7859644293785095, 0.6605942249298096, 0.32573628425598145, 0.6923743486404419]"
20,0.33809106482399837,"[0.9953449964523315, 0.8396066427230835, 0.755064070224762, 0.8925808072090149, 0.8325174450874329, 0.5342597961425781, 0.7990437746047974]","[0.9943897128105164, 0.8091211318969727, 0.6978346705436707, 0.8808485865592957, 0.7955970764160156, 0.35478535294532776, 0.6947212219238281]"
21,0.3328320874108209,"[0.9968228340148926, 0.8586291074752808, 0.8066481351852417, 0.9115811586380005, 0.8629058003425598, 0.6342596411705017, 0.8325727581977844]","[0.9954671859741211, 0.8306123614311218, 0.7271862030029297, 0.8541771173477173, 0.7366291284561157, 0.37426501512527466, 0.6824954748153687]"
22,0.3256404479344686,"[0.9956878423690796, 0.858745276927948, 0.7835162281990051, 0.8597167730331421, 0.8580139875411987, 0.5473804473876953, 0.8169689178466797]","[0.9945599436759949, 0.7800161242485046, 0.6629182696342468, 0.8551982045173645, 0.7642487287521362, 0.3588796854019165, 0.6766764521598816]"
23,0.32748226324717206,"[0.9961518049240112, 0.8172528147697449, 0.814787745475769, 0.8522738218307495, 0.8721463084220886, 0.6245931386947632, 0.7786402106285095]","[0.9948409795761108, 0.8022177815437317, 0.702887773513794, 0.8583906292915344, 0.772116482257843, 0.37306588888168335, 0.6660587787628174]"
24,0.3128862698872884,"[0.9967489242553711, 0.8422268033027649, 0.80157870054245, 0.8983006477355957, 0.8514143228530884, 0.6347980499267578, 0.8620882034301758]","[0.9954684972763062, 0.8230599164962769, 0.6837213635444641, 0.8437955975532532, 0.765717625617981, 0.39859315752983093, 0.6990343928337097]"
25,0.31386848820580376,"[0.9969651103019714, 0.8925968408584595, 0.7804365158081055, 0.8690540194511414, 0.8608869314193726, 0.6540032029151917, 0.8348994255065918]","[0.9953663945198059, 0.811292827129364, 0.7292782068252563, 0.8513199090957642, 0.7650595307350159, 0.39019879698753357, 0.6791998147964478]"
26,0.3078009804089864,"[0.9967448115348816, 0.8668578863143921, 0.7877387404441833, 0.8732714653015137, 0.8613592982292175, 0.6450611352920532, 0.8379625082015991]","[0.9953786134719849, 0.8321129083633423, 0.7271592020988464, 0.8554462194442749, 0.7896444201469421, 0.3785206973552704, 0.6919721364974976]"
27,0.29857521388265823,"[0.9969873428344727, 0.8696991801261902, 0.797343373298645, 0.8415306806564331, 0.8360373377799988, 0.6713684797286987, 0.8482576608657837]","[0.9956110715866089, 0.8314152956008911, 0.7023894786834717, 0.834140956401825, 0.7484552264213562, 0.4151315689086914, 0.6799828410148621]"
28,0.30431530409389074,"[0.9965239763259888, 0.8538567423820496, 0.8396830558776855, 0.8757631182670593, 0.8745512962341309, 0.6132527589797974, 0.8468596339225769]","[0.9952588081359863, 0.8267006874084473, 0.6960715055465698, 0.8759574890136719, 0.7987892031669617, 0.3984702527523041, 0.696649968624115]"
29,0.29615204599168565,"[0.9969512820243835, 0.8671830296516418, 0.8238252401351929, 0.8753210306167603, 0.8644237518310547, 0.66100013256073, 0.8341234922409058]","[0.9954980611801147, 0.8175182342529297, 0.7139228582382202, 0.8530029058456421, 0.7965438961982727, 0.41252994537353516, 0.693569540977478]"
30,0.29409885009129844,"[0.9964898824691772, 0.8659569621086121, 0.8356552124023438, 0.881985068321228, 0.8515633344650269, 0.6061218976974487, 0.8572141528129578]","[0.9953414797782898, 0.8115113973617554, 0.6636862754821777, 0.8644808530807495, 0.7951779365539551, 0.4100266098976135, 0.7068294286727905]"
