epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.5777592148099626,"[0.9708203077316284, 0.5665456652641296, 0.5610160827636719, 0.6884188055992126, 0.41945400834083557, 0.20340994000434875, 0.25157228112220764]","[0.9708818197250366, 0.4805655777454376, 0.3734634816646576, 0.5797344446182251, 0.3960520625114441, 0.2224700152873993, 0.22068043053150177]"
2,1.0249927043914795,"[0.9910607933998108, 0.7799336314201355, 0.7243881821632385, 0.8515884876251221, 0.7604764699935913, 0.3467455804347992, 0.6502094268798828]","[0.9908904433250427, 0.6753607988357544, 0.5816248655319214, 0.7338050007820129, 0.6906328797340393, 0.3533307611942291, 0.5516614317893982]"
3,0.7007783359410812,"[0.9888744950294495, 0.6411453485488892, 0.5949847102165222, 0.6823523640632629, 0.6247549057006836, 0.34898659586906433, 0.6372371315956116]","[0.9873481392860413, 0.5040227174758911, 0.45335716009140015, 0.5628137588500977, 0.549647867679596, 0.3371559977531433, 0.5321856141090393]"
4,0.5196037958471142,"[0.9935818910598755, 0.8548637628555298, 0.7856782078742981, 0.8823525309562683, 0.7922918796539307, 0.4132034480571747, 0.7751678228378296]","[0.9930141568183899, 0.752016007900238, 0.6480667591094971, 0.7810863256454468, 0.7327421307563782, 0.3980535566806793, 0.6067864894866943]"
5,0.4323307838366956,"[0.9945020079612732, 0.8322471976280212, 0.7345879673957825, 0.8972468972206116, 0.8554208278656006, 0.48873499035835266, 0.787102460861206]","[0.994110107421875, 0.7497583031654358, 0.6167153120040894, 0.7892466187477112, 0.7260376214981079, 0.4530305564403534, 0.6208673715591431]"
6,0.41701556133980655,"[0.9935775995254517, 0.7149433493614197, 0.7633324861526489, 0.8722846508026123, 0.763352632522583, 0.4929679036140442, 0.7496440410614014]","[0.9917482733726501, 0.5819594860076904, 0.6031454205513, 0.78718101978302, 0.7050292491912842, 0.445546954870224, 0.6199426054954529]"
7,0.3961224951306168,"[0.9952380657196045, 0.8630984425544739, 0.763357400894165, 0.8955236077308655, 0.8214063048362732, 0.5319501161575317, 0.7922780513763428]","[0.9948635697364807, 0.7819485068321228, 0.6381770372390747, 0.8099632263183594, 0.7522265315055847, 0.481361985206604, 0.690275251865387]"
8,0.3734609880009476,"[0.9965110421180725, 0.886206328868866, 0.8043153285980225, 0.8757272958755493, 0.8012797832489014, 0.5926184058189392, 0.8376373648643494]","[0.9959146976470947, 0.8076574206352234, 0.6775645017623901, 0.8107996582984924, 0.77521812915802, 0.5134879350662231, 0.7058658599853516]"
9,0.36839538569353064,"[0.9959480166435242, 0.8621495366096497, 0.7611795663833618, 0.8796653151512146, 0.7308676242828369, 0.5855199694633484, 0.8022925853729248]","[0.9944722652435303, 0.7695440053939819, 0.6109157800674438, 0.7998029589653015, 0.6893565058708191, 0.46505165100097656, 0.6780747771263123]"
10,0.35695753535445857,"[0.9964589476585388, 0.8489114046096802, 0.8313912749290466, 0.8956303000450134, 0.8433089852333069, 0.6118260025978088, 0.8352345824241638]","[0.9955414533615112, 0.7803180813789368, 0.6768168807029724, 0.8327509760856628, 0.7682557702064514, 0.5038843750953674, 0.6972844004631042]"
11,0.3392209745183283,"[0.9960367679595947, 0.8611942529678345, 0.8179748058319092, 0.8804582357406616, 0.8026134967803955, 0.57962965965271, 0.8389112949371338]","[0.9951345324516296, 0.7828739881515503, 0.6849981546401978, 0.820989727973938, 0.7671114802360535, 0.48462429642677307, 0.6865979433059692]"
12,0.33179306862305624,"[0.9971196055412292, 0.8640980124473572, 0.8102191090583801, 0.8732367157936096, 0.8749862313270569, 0.6775184273719788, 0.8512694239616394]","[0.9961501359939575, 0.7841423749923706, 0.6644405722618103, 0.8036782145500183, 0.7663859724998474, 0.5388864874839783, 0.6933373212814331]"
13,0.32841004978637306,"[0.9966850876808167, 0.8595565557479858, 0.7733446955680847, 0.8887034058570862, 0.8473238348960876, 0.6495774388313293, 0.8340525031089783]","[0.995984673500061, 0.7798980474472046, 0.6144802570343018, 0.817195475101471, 0.7751505970954895, 0.5424578189849854, 0.6522751450538635]"
14,0.34416857331382983,"[0.9964466094970703, 0.8887494802474976, 0.7935784459114075, 0.8969601988792419, 0.8505010008811951, 0.6149024963378906, 0.8121455907821655]","[0.9955464005470276, 0.7892706394195557, 0.6379420757293701, 0.7992334961891174, 0.7324718236923218, 0.5187809467315674, 0.6619227528572083]"
15,0.3265164014028043,"[0.9960692524909973, 0.8649969696998596, 0.8255100846290588, 0.8904942274093628, 0.8309875130653381, 0.569281280040741, 0.8450362086296082]","[0.9952290058135986, 0.7839978337287903, 0.6632929444313049, 0.8115055561065674, 0.7710834741592407, 0.48916688561439514, 0.6978663802146912]"
16,0.3457200475493256,"[0.9965391159057617, 0.8775041699409485, 0.8279625773429871, 0.8726444840431213, 0.8150919079780579, 0.615024983882904, 0.8391309976577759]","[0.9947441816329956, 0.796496570110321, 0.6887959241867065, 0.7895838618278503, 0.7624168992042542, 0.4772878885269165, 0.6952288150787354]"
17,0.3159186018972981,"[0.9958442449569702, 0.8767520189285278, 0.8325746655464172, 0.8754506707191467, 0.8574177026748657, 0.551925003528595, 0.8608809113502502]","[0.995025634765625, 0.8045700788497925, 0.6864986419677734, 0.8141591548919678, 0.7843485474586487, 0.4861769676208496, 0.7054154872894287]"
18,0.3049794511527431,"[0.9965956211090088, 0.8892901539802551, 0.788877546787262, 0.8725207448005676, 0.8640917539596558, 0.6241142749786377, 0.8601013422012329]","[0.9956042170524597, 0.8176928162574768, 0.6670355200767517, 0.8096024990081787, 0.7927780747413635, 0.5116822719573975, 0.7222157716751099]"
19,0.30903985761866276,"[0.996457040309906, 0.8647042512893677, 0.8412647843360901, 0.9016495943069458, 0.8620320558547974, 0.623241126537323, 0.8278185129165649]","[0.9955670237541199, 0.7803647518157959, 0.6764028072357178, 0.842631995677948, 0.7926457524299622, 0.5212876200675964, 0.6919536590576172]"
20,0.3029103859954951,"[0.9969983696937561, 0.8665603995323181, 0.8469857573509216, 0.8883170485496521, 0.8744967579841614, 0.6778329014778137, 0.8412496447563171]","[0.9961758852005005, 0.7896168828010559, 0.6908219456672668, 0.8220037221908569, 0.7935324311256409, 0.5533882975578308, 0.6934250593185425]"
21,0.2965648352187507,"[0.9965009689331055, 0.8814823627471924, 0.8236902952194214, 0.8691034913063049, 0.8532517552375793, 0.603256344795227, 0.8480716943740845]","[0.9958813190460205, 0.8063508868217468, 0.6773383021354675, 0.8111500144004822, 0.7865345478057861, 0.521618127822876, 0.7181254029273987]"
22,0.28816177619963274,"[0.9970231652259827, 0.8948097229003906, 0.8175700306892395, 0.8991649150848389, 0.8740559220314026, 0.6537162065505981, 0.8522574305534363]","[0.9963452219963074, 0.8110114336013794, 0.6708614826202393, 0.8283241391181946, 0.7871068120002747, 0.5658864974975586, 0.7103208899497986]"
23,0.28457103532796,"[0.9970980286598206, 0.8693514466285706, 0.8339971303939819, 0.8809850215911865, 0.8548768758773804, 0.6821492910385132, 0.8626630902290344]","[0.996196448802948, 0.7841033935546875, 0.6752591729164124, 0.8043196201324463, 0.7835802435874939, 0.5566482543945312, 0.6996952295303345]"
24,0.2805468531287446,"[0.997259795665741, 0.8879381418228149, 0.8532450199127197, 0.8993552923202515, 0.8684387803077698, 0.6883272528648376, 0.8551871180534363]","[0.9963659048080444, 0.7977016568183899, 0.6870320439338684, 0.8332011699676514, 0.7946333289146423, 0.5591383576393127, 0.7021275162696838]"
25,0.28169642327999583,"[0.9972635507583618, 0.9011390805244446, 0.828094482421875, 0.8972711563110352, 0.8641090989112854, 0.6767886281013489, 0.8660563826560974]","[0.995774507522583, 0.8077885508537292, 0.6628197431564331, 0.8115876913070679, 0.7741144895553589, 0.5211385488510132, 0.6924874782562256]"
26,0.2896896799912258,"[0.9965778589248657, 0.8821783661842346, 0.7878519892692566, 0.8984293341636658, 0.8426300287246704, 0.6344817876815796, 0.8507506251335144]","[0.9957355260848999, 0.8054288029670715, 0.6408394575119019, 0.8298535943031311, 0.7707754969596863, 0.5197659134864807, 0.6980704069137573]"
