epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.6441193247327999,"[0.9603484272956848, 0.5327624082565308, 0.26274633407592773, 0.1652955710887909, 0.24528156220912933, 0.16468124091625214, 0.27993330359458923]","[0.9595872759819031, 0.4690016806125641, 0.18018221855163574, 0.11963573843240738, 0.28715115785598755, 0.1786663681268692, 0.2375243604183197]"
2,1.049491255867238,"[0.9825345873832703, 0.6674931049346924, 0.6661539077758789, 0.605582594871521, 0.6249531507492065, 0.22481302917003632, 0.5638212561607361]","[0.982329249382019, 0.5671859383583069, 0.4355410933494568, 0.488700807094574, 0.6274295449256897, 0.23385806381702423, 0.5202327966690063]"
3,0.6953139749108529,"[0.9911033511161804, 0.8097992539405823, 0.6663628220558167, 0.828923761844635, 0.7927945852279663, 0.34075358510017395, 0.7325708866119385]","[0.990235447883606, 0.6769716739654541, 0.5052753686904907, 0.6867917776107788, 0.6603578329086304, 0.3372043967247009, 0.5741913914680481]"
4,0.4784084701416444,"[0.9948312044143677, 0.8469887971878052, 0.7140963673591614, 0.8619577884674072, 0.8071672916412354, 0.4967174232006073, 0.7860412001609802]","[0.9936683773994446, 0.7123452425003052, 0.6162551641464233, 0.7370980381965637, 0.6866695880889893, 0.4213608503341675, 0.6050274968147278]"
5,0.41993170003501734,"[0.9947998523712158, 0.8644429445266724, 0.8105119466781616, 0.8445122838020325, 0.7819420099258423, 0.47900834679603577, 0.7515247464179993]","[0.9936134219169617, 0.7627359628677368, 0.6366386413574219, 0.7440446019172668, 0.7213811278343201, 0.42919936776161194, 0.6141072511672974]"
6,0.4209616196398832,"[0.995228111743927, 0.8599294424057007, 0.7807733416557312, 0.8870300054550171, 0.7856080532073975, 0.5216540694236755, 0.8153008818626404]","[0.9930889010429382, 0.7524444460868835, 0.619652509689331, 0.7768778204917908, 0.6892173886299133, 0.3971347510814667, 0.6548563241958618]"
7,0.3530254202837847,"[0.996423602104187, 0.8192195296287537, 0.7588366270065308, 0.873576283454895, 0.7777289748191833, 0.662379264831543, 0.8099724054336548]","[0.9955889582633972, 0.7193419933319092, 0.6337806582450867, 0.7452852129936218, 0.7261583209037781, 0.5140910148620605, 0.6416193246841431]"
8,0.35950157745760314,"[0.9962130188941956, 0.862677276134491, 0.7714484930038452, 0.8985463976860046, 0.8106836676597595, 0.6075212359428406, 0.7988919019699097]","[0.9945812225341797, 0.7519137263298035, 0.6051861643791199, 0.7901025414466858, 0.7355899214744568, 0.4596354067325592, 0.6458511352539062]"
9,0.336666892681803,"[0.9955692291259766, 0.8665676712989807, 0.8058674931526184, 0.8505514860153198, 0.7876802682876587, 0.5429983139038086, 0.8159904479980469]","[0.9943119287490845, 0.7673110961914062, 0.6421499848365784, 0.7425215244293213, 0.7192382216453552, 0.4445965588092804, 0.6724324822425842]"
10,0.319902098604611,"[0.9965177178382874, 0.879966139793396, 0.8266084790229797, 0.8591070175170898, 0.8680340051651001, 0.6116563081741333, 0.8498814105987549]","[0.995514988899231, 0.7488020658493042, 0.6619511246681213, 0.7693722248077393, 0.7328646779060364, 0.5119454860687256, 0.6641979217529297]"
11,0.3060748225876263,"[0.9965076446533203, 0.8854977488517761, 0.7971516847610474, 0.8644489049911499, 0.845136821269989, 0.6204836964607239, 0.8467884659767151]","[0.9957087635993958, 0.7751836776733398, 0.6388638019561768, 0.7767180800437927, 0.7680712342262268, 0.5305240154266357, 0.6775392293930054]"
12,0.2993679958946851,"[0.9964056015014648, 0.8737195730209351, 0.8028762936592102, 0.8780165910720825, 0.8536641597747803, 0.6183656454086304, 0.8422651290893555]","[0.9953664541244507, 0.7769680023193359, 0.6388429403305054, 0.779262900352478, 0.7370473742485046, 0.49159425497055054, 0.6648451089859009]"
13,0.2913656838390292,"[0.9968504309654236, 0.8977748155593872, 0.7703762650489807, 0.895704448223114, 0.8511387705802917, 0.6514625549316406, 0.8554982542991638]","[0.9956967234611511, 0.7877387404441833, 0.5759744644165039, 0.8108424544334412, 0.7660211324691772, 0.5163810849189758, 0.6867496967315674]"
14,0.2816248241127754,"[0.9965782761573792, 0.8882728815078735, 0.8123611211776733, 0.8779622912406921, 0.8627469539642334, 0.6092283725738525, 0.8658802509307861]","[0.9953435063362122, 0.7878019213676453, 0.6351566314697266, 0.7889569401741028, 0.7548551559448242, 0.48723557591438293, 0.6857224702835083]"
15,0.2803038808764244,"[0.9970703125, 0.8428348898887634, 0.8468064069747925, 0.889596164226532, 0.8699684143066406, 0.6813718676567078, 0.866398811340332]","[0.9959495663642883, 0.7568528652191162, 0.669396162033081, 0.7951486706733704, 0.7491858005523682, 0.5066397190093994, 0.6537466049194336]"
16,0.2748568470076639,"[0.9971609711647034, 0.8941957354545593, 0.8057782649993896, 0.9036133885383606, 0.8688946962356567, 0.6703331470489502, 0.8684840798377991]","[0.9959591627120972, 0.7935973405838013, 0.636421263217926, 0.7978144288063049, 0.705786943435669, 0.5230463743209839, 0.6528590321540833]"
17,0.2711219544313392,"[0.9972057342529297, 0.8836156129837036, 0.7945243120193481, 0.9013469815254211, 0.8452949523925781, 0.6930651068687439, 0.8597040772438049]","[0.9962282776832581, 0.7805865406990051, 0.638275146484375, 0.815007746219635, 0.766964852809906, 0.5460623502731323, 0.6610624194145203]"
18,0.2598400788039577,"[0.996486485004425, 0.8848131895065308, 0.8556142449378967, 0.8892766833305359, 0.8674808740615845, 0.631807267665863, 0.8046165108680725]","[0.9950066804885864, 0.7813054919242859, 0.6547318696975708, 0.8028623461723328, 0.7866021394729614, 0.47451311349868774, 0.6247590780258179]"
19,0.2525476892383731,"[0.9971829652786255, 0.8869842290878296, 0.8494541049003601, 0.8941477537155151, 0.8627495169639587, 0.6825602650642395, 0.8623044490814209]","[0.9960794448852539, 0.7606225609779358, 0.6522389650344849, 0.7805210947990417, 0.77531498670578, 0.5306612849235535, 0.682489812374115]"
20,0.2544737549460664,"[0.9974643588066101, 0.8954703211784363, 0.7736044526100159, 0.8784367442131042, 0.8495400547981262, 0.7266279458999634, 0.8781923651695251]","[0.9963226318359375, 0.7704509496688843, 0.5982469916343689, 0.7915568947792053, 0.7946860790252686, 0.5396108031272888, 0.7101795077323914]"
