epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.5925857365131377,"[0.9468802809715271, 0.5343907475471497, 0.5028815865516663, 0.5586472749710083, 0.5907516479492188, 0.2756290137767792, 0.375193327665329]","[0.9452610611915588, 0.5044392347335815, 0.47750139236450195, 0.5993425250053406, 0.5521923303604126, 0.25851768255233765, 0.32310134172439575]"
2,0.944139484167099,"[0.9750253558158875, 0.8083724975585938, 0.6854396462440491, 0.7988120913505554, 0.6614928245544434, 0.3551007807254791, 0.6868337392807007]","[0.9726072549819946, 0.7815211415290833, 0.6434416770935059, 0.7769826650619507, 0.6373611688613892, 0.31382277607917786, 0.5938724875450134]"
3,0.6004251885414124,"[0.9646912217140198, 0.7090383172035217, 0.6003531217575073, 0.74418705701828, 0.5396327972412109, 0.3406769335269928, 0.5349476337432861]","[0.9648107886314392, 0.6773387789726257, 0.5567945837974548, 0.6911488771438599, 0.5285719633102417, 0.332895964384079, 0.4770878851413727]"
4,0.5347584837675095,"[0.9706208109855652, 0.6921482086181641, 0.6510528922080994, 0.7905566096305847, 0.6331971883773804, 0.35915371775627136, 0.6206189393997192]","[0.9694872498512268, 0.6818389296531677, 0.6067256331443787, 0.810327410697937, 0.58707195520401, 0.337708979845047, 0.5528773069381714]"
5,0.4576332151889801,"[0.9870052337646484, 0.849754810333252, 0.7276186347007751, 0.8710352182388306, 0.7841759324073792, 0.52241450548172, 0.8108677864074707]","[0.9866346716880798, 0.8102205991744995, 0.6566728353500366, 0.8639229536056519, 0.7270112633705139, 0.44494834542274475, 0.7182432413101196]"
6,0.4216163259744644,"[0.9866045713424683, 0.874648928642273, 0.7484170794487, 0.8828176259994507, 0.8171479105949402, 0.5231316089630127, 0.802937388420105]","[0.9852595925331116, 0.8351590037345886, 0.6740486025810242, 0.8796856999397278, 0.7703683972358704, 0.42210689187049866, 0.7142731547355652]"
7,0.3974729695916176,"[0.983828067779541, 0.8447722792625427, 0.7934615015983582, 0.852357804775238, 0.7853626012802124, 0.461558073759079, 0.8252159953117371]","[0.9818500876426697, 0.8137327432632446, 0.7181669473648071, 0.8645009398460388, 0.7268667221069336, 0.3797491192817688, 0.7407076954841614]"
8,0.3917089939117432,"[0.9869488477706909, 0.8391605019569397, 0.7711486220359802, 0.8644806146621704, 0.7982501983642578, 0.5658082962036133, 0.7564788460731506]","[0.9861420392990112, 0.7971609830856323, 0.724902331829071, 0.8723496198654175, 0.7355524897575378, 0.45510631799697876, 0.6719030737876892]"
9,0.3804338154196739,"[0.9911448359489441, 0.8685329556465149, 0.7495616674423218, 0.8690549731254578, 0.862154483795166, 0.6418257355690002, 0.8295653462409973]","[0.9909347295761108, 0.8370046615600586, 0.6978820562362671, 0.8661445379257202, 0.7532337307929993, 0.5170673131942749, 0.7623654007911682]"
10,0.37353539288043974,"[0.9886345863342285, 0.8475161790847778, 0.7714787721633911, 0.9002377390861511, 0.835545539855957, 0.5703871846199036, 0.8235535621643066]","[0.9880805611610413, 0.8025758862495422, 0.6998772621154785, 0.8765119314193726, 0.775059163570404, 0.46864059567451477, 0.7360758781433105]"
