epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.6689939618110656,"[0.9428437352180481, 0.33012232184410095, 0.19573689997196198, 0.232500359416008, 0.18450415134429932, 0.12499510496854782, 0.17167766392230988]","[0.9387795329093933, 0.27594366669654846, 0.15099649131298065, 0.2629392743110657, 0.1419224739074707, 0.10914577543735504, 0.13884548842906952]"
2,1.0675339633226395,"[0.9782828092575073, 0.3832022547721863, 0.3199315071105957, 0.6322426795959473, 0.6789860129356384, 0.27781611680984497, 0.574708104133606]","[0.9763218760490417, 0.3572447896003723, 0.2697589695453644, 0.6689078211784363, 0.6231220364570618, 0.2553272545337677, 0.47267651557922363]"
3,0.7351104027032852,"[0.9946758151054382, 0.7681453824043274, 0.7234196066856384, 0.8527206182479858, 0.678291380405426, 0.49786117672920227, 0.7469623684883118]","[0.9944892525672913, 0.7508211731910706, 0.658660352230072, 0.846756100654602, 0.6436635255813599, 0.4464462399482727, 0.7236778140068054]"
4,0.5038292729854583,"[0.995714008808136, 0.8493951559066772, 0.7440110445022583, 0.8560377359390259, 0.7852250933647156, 0.5485138297080994, 0.8090894818305969]","[0.9953922033309937, 0.8324168920516968, 0.6685143709182739, 0.8514007925987244, 0.7345362901687622, 0.472465455532074, 0.7184911370277405]"
5,0.4691617661714554,"[0.9923864603042603, 0.7792423367500305, 0.7769650816917419, 0.8496373295783997, 0.7611766457557678, 0.40225499868392944, 0.7041207551956177]","[0.991031289100647, 0.7080312967300415, 0.707832932472229, 0.8532094955444336, 0.6979170441627502, 0.33753353357315063, 0.591170608997345]"
6,0.44760735958814624,"[0.9946894645690918, 0.8251805305480957, 0.7217099070549011, 0.8018351197242737, 0.8069552183151245, 0.5243463516235352, 0.7583236694335938]","[0.9947792887687683, 0.7986968755722046, 0.6789700388908386, 0.8308113217353821, 0.7290903925895691, 0.45255333185195923, 0.7013106942176819]"
7,0.4149687299132347,"[0.9939925074577332, 0.8255720138549805, 0.7395404577255249, 0.8696461915969849, 0.7629266977310181, 0.4763656556606293, 0.7153852581977844]","[0.9928850531578064, 0.804301381111145, 0.6910775303840637, 0.872639536857605, 0.7118807435035706, 0.3775961995124817, 0.5730514526367188]"
8,0.39636754482984543,"[0.9950310587882996, 0.8463155031204224, 0.7719653844833374, 0.8429920077323914, 0.7963877320289612, 0.5364121198654175, 0.7739753723144531]","[0.9946542382240295, 0.7992449402809143, 0.7137728929519653, 0.8484411239624023, 0.719279944896698, 0.43282219767570496, 0.6972931027412415]"
9,0.37646649092435835,"[0.9956611394882202, 0.8539426922798157, 0.736871063709259, 0.8713365197181702, 0.8028427362442017, 0.564395010471344, 0.7912026643753052]","[0.9954343438148499, 0.8104587197303772, 0.7008033394813538, 0.8549423217773438, 0.6998786330223083, 0.46498769521713257, 0.7097191214561462]"
10,0.3721634778380394,"[0.9957227110862732, 0.8552036881446838, 0.7612990736961365, 0.8793852925300598, 0.8324751853942871, 0.5769259333610535, 0.803402841091156]","[0.9953766465187073, 0.799292266368866, 0.6962741017341614, 0.8595510125160217, 0.7076791524887085, 0.474882036447525, 0.728127121925354]"
11,0.3746893811225891,"[0.9944051504135132, 0.8458414077758789, 0.8003396987915039, 0.8766292929649353, 0.8152157068252563, 0.4807615280151367, 0.7727913856506348]","[0.9934980273246765, 0.8110417723655701, 0.729310154914856, 0.8843063712120056, 0.777515709400177, 0.38128164410591125, 0.6558441519737244]"
12,0.3505192092061043,"[0.9953219294548035, 0.8509400486946106, 0.7591904997825623, 0.8891467452049255, 0.8260871171951294, 0.5388136506080627, 0.8235503435134888]","[0.9949055910110474, 0.8005099296569824, 0.7145251631736755, 0.8827751278877258, 0.7789573669433594, 0.43883824348449707, 0.7176848649978638]"
13,0.34495850145816803,"[0.994966447353363, 0.8884256482124329, 0.7963879704475403, 0.8460146188735962, 0.792012095451355, 0.5145511627197266, 0.7688989639282227]","[0.9941795468330383, 0.8595808744430542, 0.750083327293396, 0.8127007484436035, 0.5690633058547974, 0.4212094843387604, 0.615863025188446]"
14,0.360417258143425,"[0.9958847165107727, 0.8602531552314758, 0.8040577173233032, 0.8536420464515686, 0.8273002505302429, 0.5809825658798218, 0.830482542514801]","[0.9954314231872559, 0.818372905254364, 0.7401050329208374, 0.8585942983627319, 0.7755008339881897, 0.4625459313392639, 0.7461552023887634]"
15,0.32910323202610015,"[0.9962353706359863, 0.8732168078422546, 0.7759208679199219, 0.8835635185241699, 0.8284624218940735, 0.6011594533920288, 0.8508580327033997]","[0.9957610368728638, 0.840099036693573, 0.7273204922676086, 0.8818111419677734, 0.7709023356437683, 0.4625419080257416, 0.7514201998710632]"
16,0.3236960691213608,"[0.9957142472267151, 0.7716131806373596, 0.8046809434890747, 0.8830708861351013, 0.8328391909599304, 0.6089283227920532, 0.831135630607605]","[0.9947085380554199, 0.7026230692863464, 0.7311676740646362, 0.8770230412483215, 0.784947395324707, 0.48478057980537415, 0.7266846895217896]"
17,0.3158356377482414,"[0.9968024492263794, 0.8829229474067688, 0.7985754609107971, 0.8870026469230652, 0.8497076034545898, 0.6390918493270874, 0.8516271710395813]","[0.9963337779045105, 0.828991711139679, 0.747766375541687, 0.8839084506034851, 0.7553743720054626, 0.5014241337776184, 0.7230221629142761]"
18,0.3189431670308113,"[0.9959974884986877, 0.8277472853660583, 0.7881786227226257, 0.8788758516311646, 0.8157723546028137, 0.6105941534042358, 0.8166030645370483]","[0.9953538179397583, 0.7962866425514221, 0.7253268957138062, 0.8631470799446106, 0.7074352502822876, 0.4839465320110321, 0.7060171961784363]"
19,0.31470313906669617,"[0.9961299896240234, 0.8540260195732117, 0.8046673536300659, 0.8982476592063904, 0.8396641612052917, 0.5977057218551636, 0.8320183157920837]","[0.9953614473342896, 0.8204094767570496, 0.7344508767127991, 0.8770461678504944, 0.7461034655570984, 0.46549031138420105, 0.7011429667472839]"
20,0.31750039860606194,"[0.995607852935791, 0.8421586751937866, 0.7951311469078064, 0.8965542912483215, 0.8016771674156189, 0.5614053606987, 0.8156372904777527]","[0.9945109486579895, 0.7993507981300354, 0.7108699083328247, 0.8726097345352173, 0.7131634950637817, 0.4231488108634949, 0.7054615020751953]"
