epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.5005038952827454,"[0.9533150792121887, 0.48278945684432983, 0.4279932379722595, 0.6724564433097839, 0.5911944508552551, 0.3436146676540375, 0.4720460772514343]","[0.949073851108551, 0.46217313408851624, 0.3840920329093933, 0.6754440665245056, 0.5281944274902344, 0.31680312752723694, 0.39436396956443787]"
2,0.8757196372747421,"[0.9429200291633606, 0.6260539889335632, 0.5754620432853699, 0.846030592918396, 0.640962541103363, 0.24224595725536346, 0.294344961643219]","[0.9343113303184509, 0.5769568681716919, 0.5193995833396912, 0.8029358983039856, 0.5938196778297424, 0.21923336386680603, 0.23798908293247223]"
3,0.5464951661229134,"[0.9825045466423035, 0.8133105039596558, 0.7078258395195007, 0.8311657309532166, 0.7762293219566345, 0.4352061450481415, 0.7144909501075745]","[0.9799519777297974, 0.7470139265060425, 0.6398342847824097, 0.800913393497467, 0.6010240912437439, 0.3691626489162445, 0.6251969337463379]"
4,0.49399869978427885,"[0.984255850315094, 0.8688932061195374, 0.7786632180213928, 0.8738985061645508, 0.7827459573745728, 0.4601392149925232, 0.7459535002708435]","[0.9793094396591187, 0.834189772605896, 0.7241639494895935, 0.8588628768920898, 0.7223929762840271, 0.3688264787197113, 0.5991771817207336]"
5,0.41297155767679217,"[0.9843457341194153, 0.8566943407058716, 0.7700163722038269, 0.8892303705215454, 0.8232272267341614, 0.46929818391799927, 0.7748506665229797]","[0.9804641008377075, 0.8003015518188477, 0.7090230584144592, 0.8667165637016296, 0.7399596571922302, 0.37679916620254517, 0.6449152231216431]"
6,0.38428177624940874,"[0.9870346784591675, 0.8487330675125122, 0.748442530632019, 0.8459153175354004, 0.7945585250854492, 0.5174426436424255, 0.7899435758590698]","[0.9844966530799866, 0.809601902961731, 0.7017062306404114, 0.8479672074317932, 0.7030872106552124, 0.4002217948436737, 0.6844457387924194]"
7,0.38506882429122924,"[0.9786024689674377, 0.8297262787818909, 0.8128207325935364, 0.8838579058647156, 0.817187488079071, 0.38383325934410095, 0.7324137091636658]","[0.9731417298316956, 0.7683915495872498, 0.7186781764030457, 0.8778030276298523, 0.7952920794487, 0.31028491258621216, 0.6063869595527649]"
8,0.35101633965969087,"[0.990025520324707, 0.8533896207809448, 0.8070650100708008, 0.8949408531188965, 0.8517355918884277, 0.615664541721344, 0.8130303621292114]","[0.9872770309448242, 0.8029270768165588, 0.7342074513435364, 0.8741044402122498, 0.7628617882728577, 0.4595557749271393, 0.7120299935340881]"
9,0.33023688405752183,"[0.9874485731124878, 0.8376891016960144, 0.780630886554718, 0.8898759484291077, 0.8316025733947754, 0.5586609244346619, 0.772081196308136]","[0.9844185709953308, 0.7882469296455383, 0.7031427025794983, 0.8626093864440918, 0.7504202127456665, 0.42448335886001587, 0.6634029746055603]"
10,0.31700751215219497,"[0.991216778755188, 0.8648623824119568, 0.7594615817070007, 0.8978084921836853, 0.8689755201339722, 0.6737661957740784, 0.8312879204750061]","[0.9887852072715759, 0.8094812631607056, 0.6957386136054993, 0.8827371001243591, 0.8017139434814453, 0.4672406315803528, 0.7358551621437073]"
11,0.30948703646659853,"[0.9899113774299622, 0.8520473837852478, 0.8247248530387878, 0.8706483840942383, 0.8604753613471985, 0.6024746894836426, 0.8484459519386292]","[0.9865769147872925, 0.7974656820297241, 0.7318331599235535, 0.8605685830116272, 0.7458082437515259, 0.44617971777915955, 0.755025327205658]"
12,0.30072797417640684,"[0.9909389615058899, 0.8674787878990173, 0.8192261457443237, 0.896202564239502, 0.8510199189186096, 0.6356139183044434, 0.8343563675880432]","[0.9881768822669983, 0.8073224425315857, 0.7362422943115234, 0.8813181519508362, 0.7556252479553223, 0.4678807556629181, 0.7455448508262634]"
