instance_number,distance_clav_k1,entropy,sharpness_global,sharpness_local,distance_annotation
2,9.219544457292889,0.0109953545033931,0.1613242962854019,0.2418048226605725,6
4,8.94427190999916,0.0106937335804104,0.1714633263969631,0.2503657163773928,4
6,8.94427190999916,0.0107877114787697,0.1798168970712839,0.2630685679537747,2
8,9.219544457292889,0.010431844741106,0.1859128738201489,0.276320588709402,0
10,11.180339887498947,0.011070292443037,0.1885684246563277,0.2724476844072147,2
12,10.295630140987,0.0104822972789406,0.1908871444401371,0.2781404411929273,4
14,10.816653826391969,0.0105148609727621,0.1930734519081612,0.2766470481048174,6
16,9.433981132056603,0.0108161829411983,0.1961591493796854,0.3037051699435989,8
18,8.48528137423857,0.0103299068287014,0.1978216437700047,0.3013981395895013,8
20,7.810249675906654,0.0097323022782802,0.1987644417369816,0.2999017948870635,6
22,7.810249675906654,0.0097762830555439,0.2001853838959441,0.2900707784078248,4
24,7.810249675906654,0.0094346571713685,0.2008882193943403,0.2853814981544536,2
26,7.0710678118654755,0.0098178330808877,0.2018288811821598,0.2932662496249876,0
28,8.48528137423857,0.0099421013146638,0.2012116517199644,0.3032637881551471,2
30,8.48528137423857,0.0097171105444431,0.2003352888563611,0.3058924650412125,4
32,8.48528137423857,0.0095594720914959,0.1984220374616079,0.3081921648741618,6
34,7.810249675906654,0.0100907497107982,0.19967848731807,0.3008732718699945,8
36,7.810249675906654,0.0107475612312555,0.2012411232361544,0.2976415489815248,10
38,8.48528137423857,0.0113758407533168,0.2016935226066974,0.2911336678524123,12
40,9.433981132056603,0.0116473846137523,0.2028206625772971,0.304349967713167,14
42,9.219544457292889,0.0118495132774114,0.2020406920982439,0.3067920981647329,16
44,9.219544457292889,0.0114588309079408,0.2029258260995906,0.3081478146155091,18
46,8.48528137423857,0.0102618644014,0.204073779649492,0.2832461466053355,20
48,8.94427190999916,0.0103582926094532,0.2045875253100869,0.2776388145939163,22
50,8.94427190999916,0.0102453744038939,0.2065384111305312,0.2799977757901499,24
52,8.602325267042627,0.0109903803095221,0.2057458710863626,0.2717443947159174,26
54,8.48528137423857,0.011374857276678,0.2034477531131716,0.2915991575339886,26
56,7.810249675906654,0.0117656029760837,0.201071858581526,0.2873915380101926,24
58,7.810249675906654,0.0108460569754242,0.1958305551355161,0.2601572198726035,22
60,7.810249675906654,0.0106564508751034,0.1927111851765167,0.2442283383756182,20
62,8.48528137423857,0.0106466235592961,0.1930361485395963,0.250861811883823,18
64,8.48528137423857,0.0126689169555902,0.1912988262384375,0.2526431915849683,16
66,8.48528137423857,0.0115732541307806,0.1914582099701688,0.257477531359255,14
68,7.0710678118654755,0.0103436652570962,0.1929526633278774,0.2608871457316401,12
70,6.708203932499369,0.009141206741333,0.1972126530262343,0.2657667836806521,10
72,7.0710678118654755,0.0088966879993677,0.1993162911585634,0.2660185373393246,8
74,7.0710678118654755,0.0085950847715139,0.1984427365183859,0.2638929208744247,6
76,7.810249675906654,0.0088768182322382,0.1992034386446723,0.2863404238906554,4
78,9.219544457292889,0.0089145954698324,0.2006338658165027,0.3104764415442098,2
80,9.219544457292889,0.0090101538226008,0.201098004802378,0.3207280267840022,0
82,8.48528137423857,0.0097624994814395,0.2017543471044004,0.3052156976974496,2
84,6.4031242374328485,0.0096237026154994,0.2003563852692443,0.2919229955145597,4
86,6.4031242374328485,0.0094789518043398,0.2007643545205759,0.2835011455549606,6
88,6.4031242374328485,0.0095956288278102,0.1991135984133505,0.2709233068026183,8
90,7.0710678118654755,0.0095911091193556,0.2005723282656659,0.2559711433947885,6
92,7.0710678118654755,0.0093388454988598,0.2020774384372453,0.2556633815302064,4
94,6.4031242374328485,0.0089817596599459,0.2029854154144628,0.2643603499571109,2
96,6.4031242374328485,0.0080321803689002,0.2000388317514689,0.2738183631356108,0
98,6.4031242374328485,0.0080483248457312,0.1976571569762382,0.263588221032938,2
100,6.4031242374328485,0.007938016206026,0.1990531586630425,0.2508699196778431,4
102,6.4031242374328485,0.0081529235467314,0.196206236827879,0.2473341704877936,6
104,7.0710678118654755,0.0080422200262546,0.1958819510196653,0.2540693325158107,8
106,6.708203932499369,0.0080545432865619,0.1985480903446397,0.2556162232120437,10
108,6.4031242374328485,0.0080037033185362,0.1990391416673528,0.2555989727499735,12
110,5.830951894845301,0.0081613669171929,0.198121299778212,0.2521532556201696,12
112,5.0,0.0080390013754367,0.198730969035973,0.2543557663649547,10
114,5.0,0.0081154061481356,0.199915839321312,0.2572010432995141,8
116,5.656854249492381,0.0079898200929164,0.1994710757655974,0.2595525108765267,6
118,5.656854249492381,0.0083047235384583,0.2013721364501423,0.2681437155955316,4
120,5.830951894845301,0.0078961811959743,0.2021466344906086,0.2726917314079751,2
122,6.324555320336759,0.0080668739974498,0.1997695506064036,0.2670553211699341,0
124,6.324555320336759,0.0078518511727452,0.1985126511378472,0.2647586022042739,2
126,5.656854249492381,0.0079755149781703,0.1974941314442265,0.265446326725171,4
128,5.830951894845301,0.0086157089099287,0.1941812593655529,0.2544479597460102,6
130,6.708203932499369,0.0084693683311343,0.1937950931196391,0.2583562052769902,8
132,6.4031242374328485,0.0085235927253961,0.194697605511857,0.2552178259530117,10
134,6.708203932499369,0.0086007285863161,0.1964716973538535,0.2556036557035732,8
136,7.0710678118654755,0.0090710334479808,0.2002740409252418,0.2499670644540479,6
138,6.4031242374328485,0.0087228268384933,0.2059200992814657,0.2527868355989687,4
140,6.708203932499369,0.0085492422804236,0.2076414021953262,0.2444990981466975,2
142,6.4031242374328485,0.0084115145727992,0.2096130203730483,0.237450388771745,0
144,5.830951894845301,0.0088037215173244,0.2122686961164611,0.2406800713948725,2
146,5.830951894845301,0.0084079205989837,0.2145552536634205,0.2373596114085364,4
148,5.830951894845301,0.0082774721086025,0.2176526040299864,0.2325992298079622,6
150,6.4031242374328485,0.0082948468625545,0.2234589815628938,0.2418666777209952,8
152,6.708203932499369,0.0081482920795679,0.2276722596418539,0.2532303648911275,10
154,5.830951894845301,0.0070918155834078,0.2301407001735468,0.2433247739174713,12
156,6.324555320336759,0.006711957976222,0.2295076722971899,0.2286388337483237,14
158,6.708203932499369,0.0070105213671922,0.2362393277009164,0.2284521485848338,16
160,7.615773105863909,0.0066423867829144,0.242551328696341,0.233440249030527,14
162,7.810249675906654,0.0068743806332349,0.2470508195471151,0.2417287829194482,12
164,7.810249675906654,0.0068206931464374,0.2490408385775158,0.2428862597326659,10
166,9.219544457292889,0.0067723118700087,0.2512465676842106,0.2462012830386757,8
168,8.48528137423857,0.0070730005390942,0.2535916709531475,0.247367673547349,6
170,9.219544457292889,0.0068686725571751,0.2566954441602782,0.241745212245852,4
172,9.899494936611664,0.0064169527031481,0.2614819155761695,0.2302874011330971,2
174,9.899494936611664,0.00607903720811,0.2680945898643421,0.2327502926585604,0
176,9.899494936611664,0.0058431718498468,0.2765300753792557,0.2350238700283376,2
178,9.899494936611664,0.0059003247879445,0.2783840080983144,0.2401488258257837,4
180,9.219544457292889,0.0059406519867479,0.2840468554109913,0.2334234123784317,6
182,9.219544457292889,0.0059803258627653,0.2877232511518047,0.2342117279297308,8
184,9.219544457292889,0.0058901691809296,0.2876353524250177,0.2326795070905858,10
186,8.48528137423857,0.0057533015497028,0.2923779074665507,0.2314913043529134,12
188,9.219544457292889,0.0057020531967282,0.2948485239478001,0.2309963287327967,14
190,9.899494936611664,0.0057876454666256,0.2987392247175655,0.2347753369642426,16
192,9.219544457292889,0.0056831552647054,0.3035449619062358,0.2248025159854348,18
194,9.219544457292889,0.0056433617137372,0.3059275588430912,0.2271980725513592,20
196,9.219544457292889,0.0057907663285732,0.3079962708812128,0.2295919941764592,22
198,9.219544457292889,0.0057759820483624,0.3156873267838674,0.2326640480734446,24
200,9.899494936611664,0.0056774960830807,0.3195871540166046,0.2289170434429813,26
202,9.899494936611664,0.0058405911549925,0.3273845604511381,0.2284242621050101,24
204,9.899494936611664,0.0057753883302211,0.3287538630908894,0.2314111573842663,22
206,9.848857801796104,0.0056801829487085,0.3326371512838467,0.2367977371269985,20
208,9.899494936611664,0.0056096939370036,0.3396149462014551,0.2409556278787665,18
210,9.219544457292889,0.005680136848241,0.3464971727180231,0.2382499299948022,16
212,9.219544457292889,0.005778906866908,0.3468362531427598,0.1801950532108774,14
214,9.899494936611664,0.006087735760957,0.3487622269656391,0.1775751933012853,12
216,9.219544457292889,0.00609534047544,0.3542117295155031,0.1761310505593853,10
218,9.433981132056603,0.0062146075069904,0.3637698092660295,0.1774510877008184,8
220,9.899494936611664,0.0068107317201793,0.3683902979731372,0.2349922551034746,6
222,9.899494936611664,0.0075315297581255,0.3701113086084807,0.2506058149302285,4
224,9.433981132056603,0.0075832591392099,0.3723487939100996,0.2578955460792099,2
226,9.219544457292889,0.0070327864959836,0.3729894817614603,0.248804339375976,0
228,9.219544457292889,0.0062662614509463,0.3725389799442368,0.2532161520468247,2
230,9.219544457292889,0.0059999893419444,0.3684464322100755,0.2448492933986181,4
232,8.48528137423857,0.0059044361114501,0.3739442944067272,0.2500990863647916,6
234,7.810249675906654,0.0057763792574405,0.3815039464113607,0.246805791653436,8
236,7.810249675906654,0.005861422047019,0.3868825221799467,0.2512834366703091,10
238,7.810249675906654,0.005667570978403,0.3979258379919214,0.2486770604603355,12
